name,price,county,town,address,lng_wgs84,lat_wgs84
上海玫瑰园商贸城,5442,奉贤,奉城,(奉贤奉城)南奉公路999弄,121.6175382,30.91582296
平安家园,5523,奉贤,四团,(奉贤四团)平福路1625弄,121.7391731,30.89831289
燎原农场,6034,奉贤,海湾,"(奉贤海湾)燎原农场运输楼, 燎原农场供销楼, 燎原农场燎原设备楼, 燎原农场医院楼, 燎原农场场部楼",121.652068,30.86129388
褚聚街4号,6090,奉贤,奉城,(奉贤奉城)褚聚街4号,121.612381,30.90252934
泊兰花苑,6412,松江,泗泾,(松江泗泾)张泾路1339弄,121.2758464,31.10452387
屯北新村,6513,青浦,白鹤,(青浦白鹤)屯北新村,121.0750189,31.26108806
嘉城名苑,6730,嘉定,嘉定老城,(嘉定嘉定老城)城中路72弄,121.2432306,31.38290395
中海万锦城(四期),6885,闸北,不夜城,(闸北不夜城)永兴路928弄,121.4550564,31.25270775
新开河路500号,7015,崇明,崇明其它,(崇明崇明其它)新开河路500号,121.5238325,31.58255545
阳光理想城,7272,松江,新桥,(松江新桥)联阳路12弄,121.2823309,31.02622216
长江农场商业楼,7326,崇明,崇明其它,(崇明崇明其它)长江农场商业楼,121.533905,31.67837233
响椿路62弄,7409,崇明,崇明其它,(崇明崇明其它)响椿路62弄,121.5671925,31.62212983
金旭花园,7438,金山,山阳,(金山山阳)金旭花园,121.3272408,30.73907139
枫阳新村,7610,金山,枫泾,(金山枫泾)枫阳新村53号,121.0146038,30.89608706
海上普罗旺斯,7615,上海周边,海门,(上海周边海门)海长路1号,121.4197027,31.78026193
世达物流中心,7895,上海周边,嘉兴,(上海周边嘉兴)乍王路518号,121.0715178,30.61122688
长丰新村,7917,奉贤,青村,(奉贤青村)长丰新村,121.5773593,30.92597064
前进农场供应站,7973,崇明,崇明其它,(崇明崇明其它)前进农场供应站,121.524521,31.62958393
蒋庄小区,8000,金山,山阳,(金山山阳)蒋庄路,121.3521904,30.80906892
跃进一村,8121,崇明,崇明其它,(崇明崇明其它)跃进一村,121.226055,31.81359557
两港批发部,8161,浦东,宣桥,(浦东宣桥)南六公路699弄,121.7027008,31.07504076
钱商大街381弄,8302,金山,金山,(金山金山)钱商大街381弄,121.247908,30.78092503
美隆大厦,8406,宝山,大华,(宝山大华)大华三路81号,121.414087,31.27828001
跃淞新村,8820,崇明,崇明其它,(崇明崇明其它)跃淞新村,121.23005,31.79282531
田园风光小区,9080,上海周边,海门,(上海周边海门)田园风光小区,121.4275932,31.79487178
供销新村,9133,崇明,崇明其它,(崇明崇明其它)供销新村,121.5341783,31.67954385
绿地卡米小城,9259,上海周边,昆山,(上海周边昆山)外青松公路988号,121.1370417,31.30745407
元件二村,9294,崇明,崇明其它,(崇明崇明其它)长江农场元件二村,121.5332143,31.6720239
东南新村(崇明),9328,崇明,崇明其它,(崇明崇明其它)红星农场东南新村,121.3598905,31.79363107
干巷镇河南街44弄,9359,金山,廊下,(金山廊下)干巷镇河南街44弄,121.185945,30.78614026
高林水乡花园,9489,上海周边,昆山,(上海周边昆山)高林水乡花园,120.8558344,31.11805833
秦峰公寓,9514,上海周边,昆山,(上海周边昆山)秦峰公寓,121.0086966,31.35256152
亚太广场,9558,上海周边,昆山,(上海周边昆山)兆丰路18号,121.1493287,31.28734027
世昶生活广场,9568,嘉定,安亭,"(嘉定安亭)新源路58号,新源路66弄",121.1548518,31.2922741
永春北路127弄,9846,浦东,大团镇,(浦东大团镇)永春北路127弄,121.7359811,30.9785198
唐朝酒店,9909,嘉定,安亭,(嘉定安亭)宝安公路4339号,121.222436,31.31895832
南府二村,10027,奉贤,青村,(奉贤青村)南府二村,121.5381865,30.86996874
祥实金港世纪,10066,浦东,书院镇,"(浦东书院镇)老芦公路868号,老芦公路841号",121.8477208,30.98076985
月亮湾大花园,10071,上海周边,苏州,(上海周边苏州)汾湖康力大道558号,120.8470172,31.05040093
叶榭世纪花苑,10158,松江,叶榭,(松江叶榭)政府路201弄,121.308334,30.94536888
花苑新村(昆山),10187,上海周边,昆山,(上海周边昆山)花桥镇花苑新村,121.0710475,31.30386259
新海一村,10327,崇明,崇明其它,"(崇明崇明其它)振兴路28弄, 新海一村",121.2915187,31.82072653
乍浦东方巴黎城,10336,上海周边,嘉兴,(上海周边嘉兴)乍浦东方巴黎城,121.0951227,30.61286489
跃高新村,10343,崇明,崇明其它,(崇明崇明其它)跃高新村,121.2347491,31.83444626
绿岛江湾城,10395,崇明,崇明其它,(崇明崇明其它)西北角永兴西路长征农场北首,121.3739261,31.79202715
洪联新村,10424,崇明,崇明其它,(崇明崇明其它)洪联新村,121.3659349,31.78614366
南桥金水领寓,10480,奉贤,南桥,(奉贤南桥)嘉园路1号,121.4908568,30.95563486
跃进新村,10482,崇明,崇明其它,(崇明崇明其它)跃进新村,121.2221992,31.81414797
复地金石湾领墅,10528,金山,山阳,(金山山阳)浦卫公路16299号,121.3587739,30.75274292
洪中二村,10609,崇明,崇明其它,(崇明崇明其它)红星农场洪中二村,121.3675624,31.79329956
乐禧汇禧厥,10627,金山,山阳,(金山山阳)同凯路40弄,121.359357,30.73259311
金水佳苑,10635,奉贤,南桥,(奉贤南桥)广丰路100弄,121.4930972,30.95993653
张江人才公寓,10714,浦东,合庆,(浦东合庆)胜利路836号,121.6967429,31.24902149
新海二村,10741,崇明,崇明其它,(崇明崇明其它)新海二村,121.2938655,31.82075931
景浦苑,10858,上海周边,嘉兴,(上海周边嘉兴)景浦苑,121.0967143,30.60628753
唐城街59号,10948,奉贤,奉城,(奉贤奉城)唐城街59号,121.6900323,30.92962958
爱久家园,10987,杨浦,中原,(杨浦中原)国伟路300号,121.5285173,31.33390857
文广苑,11000,奉贤,四团,(奉贤四团)鹏贸街37号,121.7227196,30.9408852
长乐一村,11039,崇明,崇明其它,(崇明崇明其它)长乐一村,121.4093828,31.76350222
中学新村,11100,崇明,崇明其它,(崇明崇明其它)长江农场中学新村,121.3666335,31.79260548
佘山新天地休闲广场,11111,松江,佘山,"(松江佘山)桃源路188号, 桃源路238号, 桃源路188弄173号, 桃源路188弄100号",121.1813216,31.10250113
海鸥新村,11115,崇明,崇明其它,(崇明崇明其它)海鸥新村,121.5949229,31.64831842
体北新村,11186,崇明,陈家镇,(崇明陈家镇)体北新村,121.8318635,31.52726561
千灯裕花园,11218,上海周边,昆山,"(上海周边昆山)汉昆路518号, 汉昆路458号",120.9566196,31.3877651
明华一村,11220,崇明,崇明其它,(崇明崇明其它)明华一村,121.5352821,31.67420649
佘山新天地(公寓),11261,松江,佘山,(松江佘山)桃源路178号,121.1813809,31.10243952
世茂蝶湖湾花园,11320,上海周边,昆山,(上海周边昆山)新南中路288号,120.9583192,31.341185
鸿音广场,11353,浦东,泥城镇,"(浦东泥城镇)南芦公路1755弄76号（B座）, 南芦公路1755弄60号（A座）, 南芦公路1755弄68号",121.8151738,30.91210971
朝阳新村,11363,奉贤,青村,(奉贤青村)朝阳新村（朝阳新邨）,121.5718484,30.93202667
星光耀商业广场,11406,上海周边,苏州,(上海周边苏州)姑苏区虎池路1583号,120.5433827,31.35657533
亚新生活广场,11440,普陀,长寿路,(普陀长寿路)长寿路401、401甲号,121.4329531,31.24088948
界河新村,11442,崇明,崇明其它,(崇明崇明其它)新海农场界河新村,121.3189173,31.81771644
亿丰商务楼,11474,奉贤,青村,(奉贤青村)南奉公路6111弄,121.5088185,30.92152474
九州世贸,11512,松江,泗泾,(松江泗泾)长浜路501弄,121.2677015,31.09928929
洪中新村,11519,崇明,崇明其它,(崇明崇明其它)洪中新村,121.366254,31.79457462
长乐二村,11523,崇明,崇明其它,(崇明崇明其它)长乐二村,121.4121884,31.76382172
景展家园,11534,金山,廊下,(金山廊下)春虹路208弄,121.189107,30.79914308
海燕新村(崇明),11551,崇明,崇明其它,(崇明崇明其它)海燕新村,121.5975604,31.64329646
立新中路29支弄,11578,奉贤,南桥,(奉贤南桥)立新中路29支弄,121.455294,30.91522157
中心路162弄,11640,金山,亭林,(金山亭林)中心路162弄,121.2334759,30.89368843
幸福宜居,11855,浦东,宣桥,(浦东宣桥)汇成路1245弄,121.6962267,31.03747057
临潮二村,11875,金山,石化,(金山石化)临潮二村,121.3467014,30.7189799
东风农场杨南新村,11897,崇明,崇明其它,(崇明崇明其它)东风农场杨南新村,121.4462736,31.70442281
新苑新村,11942,崇明,崇明其它,(崇明崇明其它)新苑新村（原新海农场新园新村）,121.2983936,31.81919249
廊下新村,11952,金山,廊下,(金山廊下)廊下新村,121.1887117,30.79564316
东街32弄,11971,金山,石化,(金山石化)东街32弄,121.3367418,30.73563241
丽水名邸,12100,上海周边,昆山,(上海周边昆山)香榭丽大道333弄,121.1029029,31.28578826
嘉定新城,12122,嘉定,嘉定老城,(嘉定嘉定老城)嘉定新城,121.2399934,31.36055335
