gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county,houseprice,tot_pop,urban_rat,for_res,male,female,under_14,between_15_64,beyond_65,minor,birth_rate,death_rate,area,pop_dens
layer_township_pg.218,南京东路街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,84124.29091,66300,1,21017,32694,33591,3977,52600,9726,859,0.00718,0.00895,2.41,27510
layer_township_pg.222,外滩街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,87609.72222,64900,1,22907,33163,31733,3429,52800,8699,898,0.00817,0.00885,2.18,29771
layer_township_pg.224,半淞园路街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,86841.69524,89800,1,17478,43573,46203,7186,70100,12505,964,0.0064,0.0091,2.87,31289
layer_township_pg.225,小东门街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,91726.36364,75000,1,25283,37675,37319,5684,60600,8744,686,0.00756,0.00893,,
layer_township_pg.216,豫园街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,93868.23529,61000,1,24009,30316,30726,4466,49434,7142,903,0.00798,0.00871,1.19,51261
layer_township_pg.221,老西门街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,86039.84127,72900,1,21816,35994,36904,5540,58200,9196,858,0.007369,0.008869,1.24,58800
layer_township_pg.223,五里桥街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,81392.47619,82400,1,12665,40468,41935,5572,63900,12895,865,0.00499,0.00732,2.592,26632
layer_township_pg.217,打浦桥街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,87290.11494,59100,1,12249,28286,30799,4544,45858,8783,646,0.0075,0.00783,1.59,37200
layer_township_pg.220,淮海中路街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,105596.2857,57900,1,18325,28446,29485,3419,45829,8683,689,0.00192,0.00194,1.41,41064
layer_township_pg.219,瑞金二路街道,乡镇,3.10E+11,4,310101,黄浦区,3.10E+11,95176.32258,49360,1,10761,23562,25798,2404,36809,10147,584,0.00756,0.00975,1.97,25056
layer_township_pg.60,天平路街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,107584.5361,60500,1,12057,29050,31483,4813,44030,11690,625,0.00677,0.00872,2.68,22587
layer_township_pg.66,湖南路街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,99944.18182,36281,1,7806,17340,18941,2007,26559,7715,455,0.00597,0.00994,1.72,21094
layer_township_pg.67,斜土路街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,80560.18072,69700,1,14471,34385,35325,4843,53359,11508,813,0.0067,0.00812,3.18,21918
layer_township_pg.61,枫林路街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,77973.05769,112400,1,22974,55000,57400,6625,86500,19317,1436,0.0061,0.0086,2.69,41784
layer_township_pg.70,长桥街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,67375.43396,118900,1,30466,59800,59100,9371,94100,15446,1092,0.00728,0.00809,5.87,20256
layer_township_pg.68,田林街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,74044.30435,97200,1,25592,47625,49546,7465,73900,15826,1391,0.00591,0.0061,4.16,23358
layer_township_pg.64,虹梅路街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,68059.58824,34877,1,17377,17840,17037,2378,29498,3001,474,0.01041,0.00496,4.26,8187
layer_township_pg.65,康健新村街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,72022.27869,100400,1,25468,49123,51300,7555,78700,14151,1196,0.00691,0.00652,4.07,24670
layer_township_pg.71,徐家汇街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,90816.73418,92900,1,21792,44964,47951,7571,71600,13753,1111,0.00662,0.00705,4.07,22826
layer_township_pg.62,凌云路街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,58322.65217,108600,1,19938,54900,53600,7316,87800,13473,1703,0.00615,0.00662,3.58,30335
layer_township_pg.63,龙华街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,71845.10417,85800,1,24861,43627,42142,5943,69800,10028,936,0.00647,0.00737,6.13,13997
layer_township_pg.59,漕河泾街道,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,73107.21782,97900,1,26884,48705,49212,7680,78300,11967,1202,0.00754,0.00679,5.23,18720
layer_township_pg.72,华泾镇,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,54477.3,67600,1,28821,36053,31362,5654,56000,5782,607,0.00774,0.0084,7.27,9271
layer_township_pg.69,漕河泾新兴技术开发区,乡镇,3.10E+11,4,310104,徐汇区,3.10E+11,66440.5,,,,,,,,,,,,,
layer_township_pg.169,华阳路街道,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,75434.89437,72700,,2300,34703,35722,4475,57600,10648,761,0.00765,0.0084,2.04,34604
layer_township_pg.172,江苏路街道,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,87583.98425,75300,0.76,,36819,38508,5673,56300,13320,350,0.00666,0.00868,1.52,49557
layer_township_pg.168,新华路街道,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,82320.25275,73200,0.604,,35287,37943,4782,57500,10958,2013,0.01053,0.00475,2.2,33286
layer_township_pg.174,周家桥街道,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,73885.56061,,,,,,,,,,,,,
layer_township_pg.176,天山路街道,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,68038.16883,103100,,,42066,44924,5304,66211,15475,1200,0.00628,0.00791,1.91,53979
layer_township_pg.170,仙霞新村街道,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,66887.19403,84700,,,38692,45972,5293,65600,13735,1302,0.00795,0.00608,2.375,35648
layer_township_pg.171,虹桥街道,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,72177.5,56000,,,27003,28997,3115,31551,12180,,0.00795,0.00621,4.08,13725
layer_township_pg.177,程家桥街道,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,65092.42857,24487,0.812,,12247,12240,1973,19505,3009,673,0.00959,0.00673,7.9,3100
layer_township_pg.173,北新泾街道,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,62072.76,49439,0.808,,22742,26697,,,,,0.00073,0.00079,2.22,22270
layer_township_pg.175,新泾镇,乡镇,3.10E+11,4,310105,长宁区,3.10E+11,66776.73077,164300,0.8562,,81500,82800,14229,131000,19100,610,0.868,0.00783,11.89,13818
layer_township_pg.203,江宁路街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,88640.53333,75300,1,20370,36500,38800,5262,59200,10841,1035,0.00736,0.00765,1.84,40923
layer_township_pg.209,石门二路街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,95236.97297,34288,1,9559,16897,17391,2135,26662,5491,418,0.0013,0.00148,1.09,31457
layer_township_pg.213,南京西路街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,102023.381,36544,1,9379,17787,18757,1916,27620,70008,532,0.00614,0.01021,1.62,22558
layer_township_pg.206,静安寺街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,91754.21687,29173,1,5899,13459,15714,1553,21783,5837,493,0.00581,0.00875,1.57,18582
layer_township_pg.204,曹家渡街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,87379.07692,71500,1,12038,34200,37300,5957,54300,11248,840,0.00727,0.0078,1.49,47986
layer_township_pg.214,天目西路街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,67328.38235,34749,1,11779,17863,16886,2239,28472,4038,345,0.0069,0.00693,1.94,17912
layer_township_pg.210,北站街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,74481,78000,1,32538,39549,38419,5217,63700,9076,640,0.00752,0.0073,1.99,39200
layer_township_pg.202,宝山路街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,67409.53261,80700,1,24693,41054,39672,5405,64800,10537,596,0.00793,0.00898,1.62,49800
layer_township_pg.215,共和新路街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,63514.43636,97600,1,19736,48697,48933,6807,78100,12706,821,0.0071,0.00871,2.72,35900
layer_township_pg.212,大宁路街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,73534.61111,77700,1,20715,40320,37390,6094,63000,8603,834,0.00872,0.00626,6.24,12450
layer_township_pg.208,彭浦新村街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,51287.0122,156300,1,22214,77100,79200,10216,122100,23934,1589,0.00535,0.00748,3.32,37700
layer_township_pg.207,临汾路街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,51194.32787,78100,1,11423,39044,39035,5157,61300,11660,635,0.00581,0.00803,2.21,36800
layer_township_pg.211,芷江西路街道,乡镇,3.10E+11,4,310106,静安区,3.10E+11,64626.04396,74600,1,20013,37610,37018,5129,60000,9499,610,0.00687,0.00748,1.58,47223
layer_township_pg.205,彭浦镇,乡镇,3.10E+11,4,310106,静安区,3.10E+11,60309.07595,152700,1,36858,78000,74700,12284,125000,15467,1460,0.0059,0.0069,7.88,19400
layer_township_pg.76,曹杨新村街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,63085.40741,98300,1,21048,47900,50400,6271,75800,16237,1139,0.00735,0.00927,2.1,46810
layer_township_pg.78,长风新村街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,67755.84058,120900,1,32458,59900,61000,8481,96800,15621,2012,0.0078,0.0061,5.98,20219
layer_township_pg.74,长寿路街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,70405.82946,128600,1,36992,62900,65700,9460,103800,15404,1718,0.00795,0.00852,4.02,31990
layer_township_pg.79,甘泉路街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,55824.13043,112500,1,15491,55100,57400,6174,87500,18806,1201,0.00551,0.01017,2.34,48076
layer_township_pg.77,石泉路街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,60017.28358,120200,1,32099,60400,59800,7038,96100,17081,1134,0.00729,0.00936,3.48,34540
layer_township_pg.81,宜川路街道,乡镇,3.10E+11,4,310107,普陀区,3.10E+11,55677.28814,111200,1,26336,55200,56000,7937,87800,15463,1129,0.00613,0.00889,2.21,50300
